,Food,Mines,Oil,Clths,Durbl,Chems,Cnsum,Cnstr,Steel,FabPr,Machn,Cars,Trans,Utils,Rtail,Finan,Other
1991-09-01,-0.0401,0.0361,-0.0074,0.032,0.009399999999999999,-0.032799999999999996,-0.0063,-0.030699999999999998,-0.0333,-0.0087,-0.031,-0.0219,-0.0036,0.037200000000000004,-0.038599999999999995,-0.0025,-0.005699999999999999
1991-10-01,-0.003,0.0197,0.022099999999999998,-0.0344,0.043,0.0241,0.045700000000000005,-0.028300000000000002,-0.009399999999999999,-0.012,-0.0028000000000000004,-0.0383,0.0525,0.0125,-0.0287,0.0206,0.0347
1991-11-01,0.0077,-0.0025,-0.0768,-0.0391,-0.0175,-0.057800000000000004,-0.0207,-0.024900000000000002,-0.0771,-0.053,-0.057999999999999996,-0.08460000000000001,-0.0698,0.019,-0.0109,-0.0521,-0.047599999999999996
1991-12-01,0.1506,0.0005,0.022400000000000003,0.1457,0.1035,0.1032,0.1577,0.1548,0.07,0.10490000000000001,0.0966,0.065,0.1189,0.0501,0.1328,0.13369999999999999,0.1217
1992-01-01,-0.0458,0.06,-0.0412,0.0574,0.049400000000000006,0.003,-0.0462,0.0278,0.032400000000000005,0.0375,0.04650000000000001,0.09609999999999999,0.0058,-0.045700000000000005,0.0092,0.0079,0.0076
1992-02-01,0.0007000000000000001,-0.0039000000000000003,-0.004699999999999999,0.0412,0.0021,0.026600000000000002,-0.013600000000000001,0.0173,0.0706,0.0329,0.0449,0.1525,0.0165,-0.0124,0.0242,0.0292,0.0040999999999999995
1992-03-01,-0.0121,-0.0817,-0.028300000000000002,-0.0138,-0.037000000000000005,0.0062,-0.044199999999999996,-0.018600000000000002,-0.013000000000000001,-0.0426,-0.039599999999999996,0.0128,-0.0212,-0.0053,-0.015300000000000001,-0.009000000000000001,-0.0278
1992-04-01,0.0002,-0.0236,0.09480000000000001,-0.0302,0.0024,0.061,0.0011,0.0019,0.0369,0.016200000000000003,0.005699999999999999,0.10310000000000001,0.0273,0.0269,-0.0395,0.0095,0.0158
1992-05-01,0.016200000000000003,0.0762,0.032,-0.0159,-0.0016,-0.0095,0.0079,0.0326,0.0096,-0.012,-0.0049,-0.0179,-0.0137,0.0254,-0.0068000000000000005,0.0252,-0.009000000000000001
1992-06-01,-0.0171,0.0697,-0.0335,-0.0587,-0.0449,-0.046900000000000004,-0.0554,-0.049,0.019299999999999998,-0.0647,-0.021400000000000002,0.039599999999999996,-0.0403,0.0054,-0.013500000000000002,0.012199999999999999,-0.0215
1992-07-01,0.048,0.005,0.0538,0.062,0.0513,0.0416,0.0611,0.0654,-0.0014000000000000002,0.0555,0.0166,-0.009000000000000001,0.0194,0.0673,0.0317,0.0345,0.0404
